Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
5739,D,Dd;Dc,De Winter,Milan,5,3,2,6,4,2,20,22,0.03197706863284111,,,0.03917936608195305,1224.8388671875,0.6317563056945801
5840,D,B;Ds;E,Olivera,Napoli,5,5,0,5,6,-1,13,15,0.06213296577334404,,,0.059751980006694794,1156.8114013671875,0.766487181186676
6631,D,Dc,Ghilardi,Roma,5,4,1,5,4,1,10,10,0.025903992354869843,,,0.031211892142891884,1163.345458984375,0.4392964839935303
5851,D,Ds;E,Doig,Sassuolo,5,4,1,5,4,1,10,10,0.0461193285882473,,,0.037523701786994934,1237.1243896484375,0.6528688073158264
7253,D,Dc,Bella-Kotchap,Venezia,5,6,-1,5,6,-1,13,13,0.02357427403330803,,,0.03054853528738022,1156.2205810546875,0.4770725667476654
4845,D,Dd;Ds;E,Correia T.,Venezia,5,4,1,5,4,1,12,12,0.07832763344049454,,,0.047650765627622604,1281.05224609375,0.8060452342033386
5695,D,Ds;E,Haps,Venezia,5,5,0,5,5,0,10,10,0.06432653963565826,,,0.04940935969352722,1051.5364990234375,0.801874577999115
5751,D,Dd;E,Patterson,Torino,5,5,0,5,5,0,12,12,0.062042396515607834,,,0.026697540655732155,1091.765380859375,0.6931902766227722
2169,D,B;Ds;E,Rodriguez R.,Torino,5,5,0,6,6,0,12,14,0.08966059237718582,,,0.12264706939458847,1091.8951416015625,0.6146954298019409
5578,D,Dd;Dc,Kossounou,Atalanta,4,3,1,4,3,1,12,12,0.026873480528593063,,,0.034571196883916855,1160.5631103515625,0.7444185614585876
7068,D,Dc,Vitik,Bologna,4,5,-1,4,5,-1,10,10,0.016426820307970047,,,0.021896738559007645,1112.458740234375,0.34044086933135986
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,4,3,1,5,4,1,14,17,0.08966059237718582,,,0.12264706939458847,1091.8951416015625,0.6146954298019409
7014,D,Dd;E,Smolcic I.,Como,4,4,0,4,4,0,10,10,0.03738712519407272,,,0.03997787833213806,1171.069580078125,0.5315266847610474
5603,D,Dc,Pongracic,Fiorentina,4,4,0,4,4,0,8,8,0.01909489370882511,,,0.02571355737745762,1356.985595703125,0.8173004984855652
5449,D,Ds;E,Parisi,Fiorentina,4,5,-1,4,5,-1,10,10,0.046732962131500244,,,0.051042310893535614,1195.4676513671875,0.840240478515625
5757,D,Dc,Cittadini,Frosinone,4,3,1,4,3,1,8,8,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
7537,D,Ds;E,Mitaj,Genoa,4,4,0,4,4,0,10,10,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
5831,D,Dc,Gatti,Juventus,4,4,0,4,4,0,10,10,0.05802375078201294,,,0.0545157790184021,1183.8494873046875,0.6696217060089111
7012,D,Dc,Provstgaard,Lazio,4,3,1,4,3,1,13,13,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
7131,D,Dd;E,Floriani Mussolini,Lazio,4,3,1,4,3,1,10,10,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
7240,D,Dc,Siebert,Lecce,4,4,0,4,4,0,12,12,0.01797357201576233,,,0.023031380027532578,1143.588134765625,0.46305087208747864
5838,D,Dd;Ds;E,Birindelli,Monza,4,4,0,5,5,0,12,14,0.05707554146647453,,,0.0611855685710907,1156.6292724609375,0.5930512547492981
5307,D,Dc,Valenti,Parma,4,4,0,4,4,0,10,10,0.024109380319714546,,,0.03471144661307335,1291.5174560546875,0.4554719626903534
6986,D,B;Dd;E,Rensch,Roma,4,5,-1,6,6,0,14,16,0.0773673802614212,,,0.043739203363657,1170.92041015625,0.7475705146789551
4374,D,Dd;Dc,Walukiewicz,Sassuolo,4,4,0,4,4,0,10,12,0.026281211525201797,,,0.028067830950021744,1348.575439453125,0.8217689394950867
7526,D,Dc,Comert,Torino,4,4,0,4,4,0,12,12,0.03722890838980675,,,0.03394234925508499,1184.7435302734375,0.7044776082038879
4263,D,Dc,Kabasele,Udinese,4,4,0,4,4,0,12,12,0.0440417118370533,,,0.041759248822927475,1238.8037109375,0.5234060883522034
5820,D,Dd;Ds;Dc,Bertola,Udinese,4,4,0,6,6,0,10,13,0.01778385043144226,,,0.022219926118850708,1149.4056396484375,0.38668593764305115
5527,D,Dd;E,Zanoli,Udinese,4,4,0,4,4,0,10,10,0.06611436605453491,,,0.0415220744907856,1144.8531494140625,0.5701932907104492
7312,D,Ds;E,Arizala,Udinese,4,4,0,4,4,0,8,8,0.03325112909078598,,,0.021896738559007645,1072.1474609375,0.305129736661911
6890,D,Dc,Moreno M.,Venezia,4,5,-1,4,5,-1,6,6,0.02812451869249344,,,0.032777346670627594,1230.2347412109375,0.6274269819259644
6821,D,Dd;E,Hainaut,Venezia,4,3,1,4,3,1,12,12,0.02513967454433441,,,0.0251623447984457,1115.1024169921875,0.45278048515319824
