Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
4364,C,M;C,Gaetano,Atalanta,7,7,0,8,8,0,30,35,0.11278088827568448,,,0.09166542378401285,,
5422,C,W,Zalewski,Atalanta,7,6,1,6,5,1,18,15,0.06249852907402735,,,0.05930263973086288,,
5858,C,M;C,Ferguson,Bologna,7,7,0,8,8,0,23,27,0.10400798634282851,,,0.17435242532899503,,
4870,C,M;C,Adopo,Cagliari,7,6,1,8,7,1,13,16,0.036876221019774676,,,0.0332074960321188,,
7311,C,M;C,Romano,Cagliari,7,5,2,8,6,2,21,26,0.04944111097604036,,,0.04115853359922767,,
4465,C,M;C,Fagioli,Fiorentina,7,8,-1,8,9,-1,20,25,0.08919811142020319,,,0.04836688394462199,,
6294,C,C,Ndour,Fiorentina,7,8,-1,7,8,-1,22,22,0.09146179846929091,,,0.05765145465290467,,
5791,C,M;C,Frendrup,Genoa,7,7,0,8,8,0,19,24,0.03579969477692717,,,0.03570367682333055,,
5685,C,C;T,Koopmeiners,Juventus,7,5,2,7,5,2,15,15,0.07999832930631544,,,0.06683274298122055,,
4459,C,M;C,Rovella,Lazio,7,6,1,8,7,1,16,19,0.05408318781146878,,,0.03684015686966871,,
5504,C,M;C,Coulibaly L.,Lecce,7,6,1,8,7,1,17,22,0.015503783550995746,,,0.021118317008949818,,
6593,C,C,Akinsanmiro,Monza,7,6,1,7,6,1,11,11,0.018032330233407647,,,0.020115455894878034,,
6666,C,C,Bernabè,Parma,7,7,0,7,7,0,34,34,0.047564077189094146,,,0.051300236331789116,,
6190,C,C,Pisilli,Roma,7,5,2,7,5,2,19,19,0.06751346803319298,,,0.06783668001084343,,
6680,C,M;C,Karlstrom,Udinese,7,6,1,8,7,1,20,23,0.024409267781792504,,,0.028202219024104507,,
6783,C,T,Unai Gomez,Udinese,7,7,0,6,6,0,16,14,0.07500273230044466,,,0.12631390736291284,,
5946,C,M;C,Sow,Genoa,7,7,0,8,8,0,15,20,0.09247866314100592,,,0.03894169990561511,,
4479,C,W;T,Elmas,Atalanta,7,7,0,7,7,0,22,22,0.04705827488122802,,,0.04413688193124376,,
7619,C,W;A,Monteiro J.,Lecce,7,7,0,6,6,0,23,23,0.10856656093444479,,,0.1079202564825353,,
5680,C,M;C,Sarr P.,Juventus,7,7,0,8,8,0,25,27,0.03781288021685262,,,0.04876120833532983,,
795,C,W,El Shaarawy,Genoa,7,7,0,6,6,0,25,23,0.10376732778784475,,,0.13725157982424685,,
5298,C,M;C,Pobega,Bologna,6,6,0,7,7,0,12,15,0.08444564049181184,,,0.10728856236134704,,
4260,C,M;C,Winks,Cagliari,6,6,0,7,7,0,15,20,0.026136402264237406,,,0.029623968806117774,,
6010,C,C;T,Fazzini,Cagliari,6,7,-1,7,8,-1,23,23,0.05229467172175646,,,0.06722843911498785,,
7412,C,M;C,Milla,Como,6,5,1,6,5,1,30,35,0.09119798650867061,,,0.15610124094705832,,
5036,C,C;T,Caqueret,Como,6,6,0,6,6,0,17,17,0.09308225797587319,,,0.05301782216092474,,
6678,C,T,Liberali,Como,6,6,0,5,5,0,21,20,0.008491330698720718,,,0.014877611371737562,,
7464,C,M;C,Oulai,Fiorentina,6,6,0,7,7,0,18,23,0.007865512615412865,,,0.013781119130037135,,
5998,C,W,Zerbin,Frosinone,6,5,1,5,4,1,12,10,0.05573700354679635,,,0.02818389095562069,,
6020,C,E;C,Ellertsson,Genoa,6,6,0,7,7,0,16,19,0.03409549010231307,,,0.035150718577206135,,
5761,C,W,Zhegrova,Juventus,6,6,0,5,5,0,17,17,0.0954167728175066,,,0.28409462746428815,,
6549,C,W,Pierotti,Lecce,6,6,0,5,5,0,19,17,0.03902286659975193,,,0.04097327490484244,,
2741,C,M;C,Pessina,Monza,6,7,-1,7,8,-1,15,20,0.020285965592453353,,,0.019179402414317193,,
4349,C,M;C,Nicolussi Caviglia,Parma,6,6,0,6,7,-1,16,21,0.08094413449889735,,,0.06152174761420802,,
2528,C,M;C,Matic,Sassuolo,6,5,1,6,6,0,15,17,0.032515366065659024,,,0.02450919920872701,,
6677,C,C;T,Adzic,Sassuolo,6,5,1,6,5,1,16,16,0.10167221072473025,,,0.15926200545147845,,
7036,C,C;T,Bakola,Sassuolo,6,5,1,6,5,1,14,14,0.08416894208443793,,,0.0950047970210251,,
7060,C,E;W,Cacciamani,Torino,6,5,1,7,6,1,24,24,0.0076108551745940195,,,0.013334935301865795,,
6218,C,W;T,Oristanio,Torino,6,7,-1,6,7,-1,12,14,0.07593338700893679,,,0.07644479465915968,,
