Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
795,C,el shaarawy,Roma,8,8,0,19,stephan el shaarawy,it ITA,"DF,MF",Roma,31.0,1992.0,31,12,1098,12.2,3,4,7,3,0,0,2.7,1.2,2.7,3.9,28,12,42.9,2.3,0.98,399,504,79.2,49,15,21,42,77,47,3.85,9,0.74,16,10,12,26,13,0,635,381,22,10,2,0,,,,,,,,,,,,,,,,,,,,,,27.66821810901026,28.793774319066152
27,C,grassi,Cremonese,4,4,0,9,alberto grassi,it ITA,MF,Empoli,29.0,1995.0,28,27,2203,24.5,1,0,1,1,0,0,1.0,0.8,1.0,1.9,11,4,36.4,0.45,0.16,634,850,74.6,74,7,7,18,24,27,1.1,2,0.08,39,33,14,72,43,1,1058,441,26,18,8,0,,,,,,,,,,,,,,,,,,,,,,24.25062016211328,28.793774319066152
333,C,cataldi,Lazio,5,5,0,10,danilo cataldi,it ITA,MF,Fiorentina,29.0,1994.0,24,22,1712,19.0,3,0,3,3,0,0,1.1,0.8,1.1,1.9,13,5,38.5,0.68,0.26,845,1000,84.5,90,15,10,18,16,32,1.68,1,0.05,25,22,11,47,35,0,1147,657,13,7,1,0,,,,,,,,,,,,,,,,,,,,,,27.872864692656783,28.793774319066152
1871,C,deiola,Cagliari,6,5,1,11,alessandro deiola,it ITA,MF,Cagliari,28.0,1995.0,29,16,1432,15.9,2,1,3,2,0,0,1.7,0.6,1.7,2.4,18,5,27.8,1.13,0.31,384,523,73.4,40,6,8,11,36,26,1.63,3,0.19,31,13,20,44,38,0,686,332,15,11,6,0,,,,,,,,,,,,,,,,,,,,,,23.296524603220696,28.01556420233463
2848,C,frattesi,Inter,13,14,-1,37,davide frattesi,it ITA,MF,Inter,24.0,1999.0,27,9,1158,12.9,5,1,6,5,0,0,4.0,0.8,4.0,4.8,26,7,26.9,2.02,0.54,297,360,82.5,31,7,5,23,50,19,1.4,2,0.15,17,5,10,22,14,1,499,296,20,4,1,0,,,,,,,,,,,,,,,,,,,,,,28.627844656650048,27.626459143968873
5453,C,ricci,Milan,10,10,0,22,samuele ricci,it ITA,MF,Torino,22.0,2001.0,34,34,2825,31.4,1,1,2,1,0,0,1.3,0.6,1.3,1.8,22,7,31.8,0.7,0.22,1177,1338,88.0,116,15,13,43,30,48,1.53,4,0.13,35,25,16,60,51,2,1589,960,35,18,8,1,,,,,,,,,,,,,,,,,,,,,,27.237354085603116,27.237354085603116
6458,C,serdar,Verona,6,5,1,12,suat serdar,de GER,MF,Hellas Verona,27.0,1997.0,22,16,1376,15.3,2,1,3,2,0,0,1.9,1.0,1.9,2.9,30,8,26.7,1.96,0.52,357,477,74.8,56,10,5,18,35,29,1.9,1,0.07,35,8,19,43,21,0,660,370,24,15,4,1,,,,,,,,,,,,,,,,,,,,,,20.951938473281174,26.848249027237358
5457,C,maleh,Lecce,6,6,0,6,youssef maleh,ma MAR,MF,Empoli,25.0,1998.0,22,17,1510,16.8,0,1,1,0,0,0,0.9,0.9,0.9,1.8,17,3,17.6,1.01,0.18,398,560,71.1,72,12,11,10,37,30,1.79,2,0.12,45,16,12,61,25,0,744,299,25,10,5,1,,,,,,,,,,,,,,,,,,,,,,20.94917297890757,26.459143968871597
2528,C,matic,Sassuolo,4,4,0,10,nemanja matic,rs SRB,MF,Lyon,35.0,1988.0,29,25,2010,22.3,0,1,1,0,0,0,0.1,1.3,0.1,1.3,2,1,50.0,0.09,0.04,1230,1415,86.9,150,17,16,35,15,49,2.2,4,0.18,42,18,18,60,31,1,1569,979,13,21,1,0,,,,,,,,,,,,,,,,,,,,,,21.863998517695016,26.07003891050584
6677,C,adzic,Juventus,1,1,0,1,vasilije adzic,me MNE,"MF,FW",Juventus,18.0,2006.0,6,0,42,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,100.0,2.14,2.14,15,20,75.0,1,0,1,0,3,2,4.29,0,0.0,2,0,1,2,0,0,24,14,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,24.531041291596495,24.90272373540856
