Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
6985,D,cande,Sassuolo,6,6,0,14,fali cande,gw GNB,DF,Venezia,26.0,1998.0,17,17,1530,17.0,1,1,2,1,0,0,1.1,0.6,1.1,1.7,5,2,40.0,0.29,0.12,761,939,81.0,47,4,3,5,3,14,0.82,3,0.18,25,15,11,40,90,2,1131,557,12,8,4,0,,,,,,,,,,,,,,,,,,,,,,24.72290124072543,26.633165829145728
256,D,juan jesus,Napoli,4,3,1,14,juan jesus,br BRA,DF,Napoli,33.0,1991.0,15,12,1074,11.9,0,1,1,0,0,0,0.3,0.0,0.3,0.4,3,0,0.0,0.25,0.0,764,853,89.6,50,1,2,3,2,9,0.75,1,0.08,25,9,10,34,42,0,952,589,4,1,2,0,,,,,,,,,,,,,,,,,,,,,,32.275662361714346,26.633165829145728
6957,D,valentini,Verona,4,4,0,9,nicolas valentini,ar ARG,DF,Hellas Verona,23.0,2001.0,14,13,1129,12.5,0,0,0,0,0,0,0.3,0.8,0.3,1.2,8,0,0.0,0.64,0.0,316,468,67.5,42,6,2,4,1,11,0.88,0,0.0,35,15,11,50,97,0,654,268,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,21.680744934794312,26.13065326633166
6351,D,lamptey,Fiorentina,4,4,0,8,tariq lamptey,gh GHA,DF,Brighton,23.0,2000.0,15,10,860,9.6,2,2,4,2,0,0,0.4,0.8,0.4,1.2,6,2,33.3,0.63,0.21,335,413,81.1,14,5,6,32,45,17,1.78,3,0.31,17,7,6,24,23,1,535,292,11,5,0,0,,,,,,,,,,,,,,,,,,,,,,28.225700734425928,25.628140703517595
7181,D,wesley,Roma,15,14,1,52,wesley fofana,fr FRA,DF,Chelsea,23.0,2000.0,14,14,1172,13.0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,3,0,0.0,0.23,0.0,724,803,90.2,32,6,1,19,4,15,1.15,0,0.0,13,14,4,27,55,2,933,557,16,5,7,0,,,,,,,,,,,,,,,,,,,,,,28.99306188485953,25.628140703517595
6642,D,coco,Torino,8,8,0,12,marcus coco,fr FRA,DF,Nantes,28.0,1996.0,20,10,951,10.6,0,1,1,0,0,0,0.1,1.2,0.1,1.3,2,0,0.0,0.19,0.0,384,483,79.5,34,10,10,12,40,20,1.89,1,0.09,27,11,6,38,46,0,608,297,11,6,3,2,,,,,,,,,,,,,,,,,,,,,,25.894389796318233,25.125628140703522
6766,D,kelly,Juventus,7,7,0,14,skelly alvero,fr FRA,MF,Werder Bremen,22.0,2002.0,12,1,236,2.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.38,0.0,68,91,74.7,8,0,3,1,0,2,0.76,0,0.0,11,2,3,13,10,0,136,70,6,4,1,0,,,,,,,,,,,,,,,,,,,,,,28.478633295413097,24.623115577889447
2263,D,lazzari,Lazio,4,4,0,11,manuel lazzari,it ITA,DF,Lazio,30.0,1993.0,25,16,1406,15.6,0,1,1,0,0,0,0.1,1.3,0.1,1.4,6,2,33.3,0.38,0.13,609,770,79.1,66,20,22,72,96,36,2.3,2,0.13,26,10,23,36,19,0,896,518,27,7,3,0,,,,,,,,,,,,,,,,,,,,,,26.1611604243074,24.120603015075382
4263,D,kabasele,Udinese,3,3,0,6,christian kabasele,be BEL,DF,Udinese,33.0,1991.0,16,12,1161,12.9,2,0,2,2,0,0,1.5,0.4,1.5,1.9,15,4,26.7,1.16,0.31,481,564,85.3,44,6,1,9,7,12,0.93,0,0.0,17,14,3,31,75,1,715,393,9,3,0,0,,,,,,,,,,,,,,,,,,,,,,23.361744291448307,24.120603015075382
5156,D,nkounkou,Torino,3,3,0,6,niels nkounkou,fr FRA,"DF,MF",Eint Frankfurt,23.0,2000.0,12,4,382,4.2,0,0,0,0,0,0,0.2,1.3,0.2,1.5,4,0,0.0,0.94,0.0,162,235,68.9,15,9,4,17,21,16,3.77,1,0.24,13,7,10,20,15,0,295,178,7,4,1,0,,,,,,,,,,,,,,,,,,,,,,24.85150838808704,24.120603015075382
