team,season,wins,loss,draws,goals,goals_per90,goals_against,goals_against_per90,goals_fh,goals_sh,goals_against_fh,goals_against_sh,ts_goals,ts_goals_against
Hellas Verona,2024-25,9,21,7,32,0.8648648648648649,65,1.7567567567567568,13,19,41,24,"[3, 0, 2, 1, 2, 2, 2, 0, 1, 0, 3, 1, 0, 0, 1, 3, 0, 3, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[0, 3, 0, 2, 3, 3, 1, 3, 6, 1, 2, 3, 5, 1, 4, 2, 1, 2, 0, 2, 3, 1, 0, 5, 1, 0, 2, 2, 0, 0, 1, 0, 1, 2, 1, 1, 1]"
Juventus,2024-25,17,4,16,55,1.4864864864864864,33,0.8918918918918919,26,29,15,18,"[3, 3, 0, 0, 0, 3, 1, 1, 4, 2, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 2, 1, 4, 2, 1, 1, 2, 0, 0, 1, 1, 2, 0, 2, 1, 1, 2]","[0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 0, 0, 0, 1, 2, 2, 1, 2, 1, 1, 0, 2, 1, 1, 0, 0, 0, 4, 3, 0, 1, 1, 1, 0, 1, 1, 0]"
Parma,2024-25,6,16,15,41,1.1081081081081081,56,1.5135135135135136,16,25,21,35,"[1, 2, 1, 2, 2, 2, 0, 1, 1, 2, 0, 2, 1, 3, 1, 2, 0, 2, 0, 0, 1, 2, 1, 1, 0, 2, 0, 2, 1, 0, 2, 0, 1, 2, 0, 1, 0]","[1, 1, 2, 3, 2, 3, 0, 1, 1, 2, 1, 1, 3, 1, 3, 3, 5, 1, 0, 1, 1, 3, 3, 2, 1, 0, 1, 2, 1, 0, 2, 0, 0, 2, 1, 2, 0]"
Lazio,2024-25,18,8,11,61,1.6486486486486487,48,1.2972972972972974,24,37,18,30,"[3, 1, 2, 2, 1, 3, 2, 0, 3, 5, 2, 1, 3, 1, 1, 0, 2, 1, 0, 1, 3, 1, 2, 5, 2, 0, 2, 1, 0, 1, 1, 1, 2, 2, 1, 1, 2]","[1, 2, 2, 1, 2, 2, 1, 1, 0, 1, 1, 0, 0, 3, 0, 6, 1, 1, 2, 1, 0, 2, 1, 1, 2, 0, 1, 1, 5, 1, 0, 1, 0, 2, 0, 1, 2]"
Napoli,2024-25,23,4,10,57,1.5405405405405406,27,0.7297297297297297,28,29,13,14,"[0, 3, 2, 4, 0, 2, 3, 1, 1, 2, 0, 1, 1, 1, 0, 3, 2, 1, 3, 2, 3, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 3, 1, 2, 1, 2, 0]","[3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0]"
Torino,2024-25,10,13,14,39,1.054054054054054,43,1.162162162162162,15,24,20,23,"[2, 2, 1, 0, 3, 2, 2, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 0, 2, 0, 1, 0, 0]","[2, 1, 0, 0, 2, 3, 3, 3, 0, 1, 1, 2, 1, 1, 0, 0, 2, 2, 0, 1, 1, 0, 1, 1, 3, 1, 0, 2, 0, 1, 1, 1, 0, 2, 1, 2, 1]"
Lecce,2024-25,7,20,10,26,0.7027027027027027,58,1.5675675675675675,12,14,25,33,"[0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 3, 1, 0, 3, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1]","[4, 2, 0, 0, 2, 3, 1, 6, 1, 0, 1, 1, 0, 1, 4, 1, 2, 2, 0, 1, 4, 4, 1, 0, 0, 1, 1, 3, 2, 1, 1, 2, 3, 1, 1, 1, 0]"
Udinese,2024-25,12,17,8,39,1.054054054054054,53,1.4324324324324325,17,22,22,31,"[1, 2, 1, 3, 0, 2, 1, 0, 2, 2, 0, 1, 1, 0, 2, 1, 2, 2, 0, 0, 1, 1, 3, 1, 3, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0]","[1, 1, 0, 2, 3, 3, 0, 1, 0, 3, 2, 2, 1, 2, 1, 3, 1, 2, 0, 0, 4, 2, 2, 1, 0, 0, 0, 1, 1, 2, 1, 4, 2, 0, 1, 2, 2]"
Venezia,2024-25,5,18,14,30,0.8108108108108109,53,1.4324324324324325,13,17,20,33,"[1, 0, 0, 0, 2, 1, 1, 0, 2, 3, 0, 1, 0, 0, 2, 2, 2, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 2, 0]","[3, 0, 1, 4, 0, 2, 2, 2, 2, 2, 1, 2, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 1, 1, 3]"
Milan,2025-26,20,8,10,53,1.394736842105263,35,0.9210526315789473,20,33,17,18,"[1, 2, 1, 3, 2, 0, 2, 2, 1, 1, 2, 1, 1, 3, 2, 3, 1, 1, 1, 3, 1, 1, 3, 2, 1, 0, 2, 1, 0, 3, 0, 0, 1, 0, 0, 2, 2, 1]","[2, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 0, 0, 2, 2, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 2, 1, 3, 0, 0, 2, 3, 1, 2]"
Pisa,2025-26,2,24,12,26,0.6842105263157895,71,1.868421052631579,12,14,30,41,"[1, 0, 0, 2, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 2, 0, 1, 0, 2, 1, 2, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 3, 0, 4, 0, 2, 0, 2, 0, 2, 2, 1, 1, 2, 2, 1, 3, 2, 1, 6, 3, 0, 2, 1, 1, 4, 1, 5, 1, 3, 2, 1, 2, 3, 3, 2]"
Fiorentina,2025-26,9,14,15,41,1.0789473684210527,50,1.3157894736842106,17,24,20,30,"[1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 2, 1, 0, 1, 1, 5, 0, 1, 2, 1, 2, 1, 1, 2, 2, 1, 0, 0, 4, 1, 1, 1, 1, 0, 0, 0, 2, 1]","[1, 0, 3, 2, 0, 2, 2, 2, 3, 1, 2, 1, 2, 3, 2, 1, 1, 0, 2, 1, 1, 2, 2, 2, 1, 0, 3, 0, 1, 1, 0, 0, 1, 0, 4, 0, 0, 1]"
Roma,2025-26,23,11,4,59,1.5526315789473684,31,0.8157894736842105,27,32,10,21,"[1, 1, 0, 1, 2, 2, 0, 1, 2, 0, 2, 3, 0, 0, 1, 1, 3, 0, 2, 2, 2, 1, 0, 2, 2, 3, 3, 1, 1, 1, 2, 3, 1, 2, 4, 3, 2, 2]","[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 3, 2, 2, 0, 5, 0, 1, 0, 0, 2, 0, 0]"
Atalanta,2025-26,15,9,14,51,1.3421052631578947,36,0.9473684210526315,24,27,18,18,"[1, 1, 4, 3, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 2, 1, 0, 1, 2, 2, 1, 4, 0, 2, 2, 2, 1, 2, 1, 1, 3, 0, 1, 2, 0, 3, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 3, 3, 0, 3, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 1, 0, 0, 1, 1, 3, 0, 2, 1, 1]"
Bologna,2025-26,16,14,8,49,1.2894736842105263,46,1.2105263157894737,21,28,17,29,"[0, 1, 0, 2, 2, 4, 2, 2, 0, 3, 2, 3, 1, 1, 0, 1, 1, 0, 1, 3, 1, 2, 0, 0, 2, 1, 1, 1, 1, 0, 2, 2, 0, 0, 0, 3, 1, 3]","[1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 0, 0, 3, 1, 1, 1, 3, 2, 1, 2, 2, 3, 3, 1, 1, 0, 0, 2, 0, 2, 1, 0, 2, 2, 0, 2, 0, 3]"
Cagliari,2025-26,11,17,10,40,1.0526315789473684,53,1.394736842105263,16,24,22,31,"[1, 0, 2, 2, 0, 1, 0, 2, 1, 0, 0, 3, 1, 1, 1, 2, 2, 0, 2, 0, 1, 2, 4, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 3, 0, 0, 2, 2]","[1, 1, 0, 1, 2, 1, 2, 2, 2, 2, 0, 3, 2, 0, 2, 2, 1, 1, 2, 3, 0, 1, 0, 2, 2, 0, 1, 2, 3, 1, 2, 0, 3, 2, 0, 2, 1, 1]"
Como,2025-26,20,7,11,65,1.7105263157894737,29,0.7631578947368421,27,38,12,17,"[2, 0, 1, 2, 1, 1, 2, 0, 3, 0, 0, 5, 2, 0, 0, 3, 1, 3, 1, 1, 3, 6, 0, 1, 1, 2, 3, 2, 2, 5, 0, 3, 1, 2, 0, 1, 1, 4]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 4, 1, 0, 0, 0, 1, 3, 0, 0, 0, 2, 1, 0, 1, 1, 1, 0, 0, 4, 2, 0, 0, 0, 0, 1]"
